Semana,Longitud cola,Cola,Arribos,Autos,Atenciones,Atendidos,Despachos,Despachados
77.0,6.0,"['Y18X', 'F57U', 'Y94A', 'D36D', 'C46K', 'D89B']",5.0,"['M99L', 'U91D', 'E6N', 'E4Y', 'H98Q']",3.0,"['Y18X', 'F57U', 'Y94A']",3.0,"['D36D', 'C46K', 'D89B']"
78.0,5.0,"['M99L', 'U91D', 'E6N', 'E4Y', 'H98Q']",7.0,"['J1R', 'Q77V', 'I99Y', 'A91H', 'V66K', 'G85M', 'I39L']",5.0,"['M99L', 'U91D', 'E6N', 'E4Y', 'H98Q']",0.0,[]
79.0,7.0,"['J1R', 'Q77V', 'I99Y', 'A91H', 'V66K', 'G85M', 'I39L']",5.0,"['G29C', 'Y49S', 'Y11S', 'W97Z', 'Y75S']",3.0,"['J1R', 'Q77V', 'I99Y']",4.0,"['A91H', 'V66K', 'G85M', 'I39L']"
80.0,5.0,"['G29C', 'Y49S', 'Y11S', 'W97Z', 'Y75S']",6.0,"['J68E', 'J69Z', 'C3C', 'D34R', 'E100F', 'K81K']",3.0,"['G29C', 'Y49S', 'Y11S']",2.0,"['W97Z', 'Y75S']"
81.0,6.0,"['J68E', 'J69Z', 'C3C', 'D34R', 'E100F', 'K81K']",6.0,"['P3G', 'T84V', 'D99G', 'X44M', 'Q45J', 'Z50K']",3.0,"['J68E', 'J69Z', 'C3C']",3.0,"['D34R', 'E100F', 'K81K']"
82.0,6.0,"['P3G', 'T84V', 'D99G', 'X44M', 'Q45J', 'Z50K']",6.0,"['W46P', 'K76W', 'S97P', 'W4H', 'K100G', 'V39Q']",5.0,"['P3G', 'T84V', 'D99G', 'X44M', 'Q45J']",1.0,['Z50K']
83.0,6.0,"['W46P', 'K76W', 'S97P', 'W4H', 'K100G', 'V39Q']",8.0,"['V51S', 'R67C', 'P90J', 'O81L', 'O65Q', 'F64G', 'H2E', 'V19D']",5.0,"['W46P', 'K76W', 'S97P', 'W4H', 'K100G']",1.0,['V39Q']
84.0,8.0,"['V51S', 'R67C', 'P90J', 'O81L', 'O65Q', 'F64G', 'H2E', 'V19D']",6.0,"['J68L', 'B83M', 'T50O', 'G92I', 'A68N', 'C23D']",4.0,"['V51S', 'R67C', 'P90J', 'O81L']",4.0,"['O65Q', 'F64G', 'H2E', 'V19D']"
85.0,6.0,"['J68L', 'B83M', 'T50O', 'G92I', 'A68N', 'C23D']",7.0,"['X90Q', 'N65R', 'C91P', 'Q2J', 'G26P', 'P85E', 'L91G']",4.0,"['J68L', 'B83M', 'T50O', 'G92I']",2.0,"['A68N', 'C23D']"
86.0,7.0,"['X90Q', 'N65R', 'C91P', 'Q2J', 'G26P', 'P85E', 'L91G']",6.0,"['C68F', 'F86H', 'G99S', 'A98U', 'D60P', 'J3H']",4.0,"['X90Q', 'N65R', 'C91P', 'Q2J']",3.0,"['G26P', 'P85E', 'L91G']"
87.0,6.0,"['C68F', 'F86H', 'G99S', 'A98U', 'D60P', 'J3H']",6.0,"['V37T', 'U86F', 'B15S', 'I17D', 'X11O', 'G71I']",3.0,"['C68F', 'F86H', 'G99S']",3.0,"['A98U', 'D60P', 'J3H']"
88.0,6.0,"['V37T', 'U86F', 'B15S', 'I17D', 'X11O', 'G71I']",8.0,"['A82B', 'S10E', 'O64W', 'B5Y', 'T91N', 'C48X', 'W59J', 'W79O']",5.0,"['V37T', 'U86F', 'B15S', 'I17D', 'X11O']",1.0,['G71I']
89.0,8.0,"['A82B', 'S10E', 'O64W', 'B5Y', 'T91N', 'C48X', 'W59J', 'W79O']",8.0,"['T14L', 'N9C', 'J62D', 'A74Z', 'V10S', 'K39M', 'G70I', 'R61Y']",6.0,"['A82B', 'S10E', 'O64W', 'B5Y', 'T91N', 'C48X']",2.0,"['W59J', 'W79O']"
90.0,8.0,"['T14L', 'N9C', 'J62D', 'A74Z', 'V10S', 'K39M', 'G70I', 'R61Y']",5.0,"['R92D', 'F83D', 'P89U', 'V13G', 'K10S']",5.0,"['T14L', 'N9C', 'J62D', 'A74Z', 'V10S']",3.0,"['K39M', 'G70I', 'R61Y']"
91.0,5.0,"['R92D', 'F83D', 'P89U', 'V13G', 'K10S']",8.0,"['D89R', 'M67T', 'V36O', 'E69R', 'G75Z', 'O12S', 'N79X', 'L61F']",4.0,"['R92D', 'F83D', 'P89U', 'V13G']",1.0,['K10S']
